OBJECTID,PEID,PGID,Name,NmDisp,NmAlt,ISOalpha3,Ctry,Regn,RegnSub,ROG,AffCd,Aff,PeopleDesc,LocationDesc,Pop,PopCls,EvngPct,EvngLvl,CongExst,Plnting,EngStat,GSEC,GSECbrf,GSEClng,SPI,SPIdesc,LPI,LPIname,LPIdesc,ROL,Lang,LangFamily,LangClass,LangSpkrs,ROR,Rlgn,RlgnAdher,RORdesc,RlgnBs,ROR4,ROR3,RlgnDiv,ROP3,PplNm,ROP25,Ethne,ROP2,PplClstr,ROP1,Affbloc,Bible,Jesus,Radio,Gospel,Audio,Stories,ResTot,LvlBible,YrPub,PicCrdt,PicURL,Photo,Indigenous,Latitude,Longitude,PeopleSearch,UpdatedDate
,,PG049380,"Kachera, Muslim",Nalband,Shorgir,,,,,,,,a Celtic ethnic group indigenous to the country of Wales that is part of the United Kingdom,"Alaska: Upper Kuskokwim, McGrath, Nikolai, and Telida villages",2315000,,16.83,,,,,,,,,,,,,adw,Amundava,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Southern",,,,,,,,,,113218,Nanbai,308287,Tripuri / Tipera / Tipperah,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Jason Harral",https://joshuaproject.net/assets/media/profiles/photos/p10183.jpg,,,14.8,74.13,Hindu Santarash of India (PG049380),2025-05-19T03:03:53.02+00:00
,,PG049383,Nalband,Sahi,"Malakkar, Phulmali, Malakar",,,,,,,,a Western-Nilotic speaking ethnolinguistic group indigenous to western Kenya and northern Tanzania,Yukon: Dawson City area,3160000,,12.8,,,,,,,,,,,,,yab,Yuhup,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, East-West, Mbembe-Legbo, Legbo",,,,,,,,,,113663,Sonr,308655,Wadiyara Koli,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Musaddam Idrissa Musa - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Bara_ma_jalam_rawa.jpg"">Musaddam Idrissa Musa - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/4.0/"">CC BY-SA 4.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p13448.jpg,,,8.744973,77.906204,Racband of India (PG049383),2025-05-19T03:04:17.663+00:00
,,PG049642,Sahi,Malaneese,Tora,,,,,,,,"one of the major ethnic groups in Sierra Leone, West Africa. The Limba are considered by many to be the earliest indigenous inhabitants of the region","Northwest Territories: Aklavik, Inuvik, Tsiigehtchic, Fort McPherson; Yukon Territory: Old Crow",8580000,,16.61,,,,,,,,,,,,,tri,Trió,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Ekoid, Bakor",,,,,,,,,,113152,Mundala,305406,Meo / Mewati,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: IBRAHOUA - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:M%C3%A8re_pr%C3%A9sentant_la_carte_de_vaccination_de_son_enfant_vaccin%C3%A9_contre_la_rougeole.jpg"">IBRAHOUA - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/4.0/"">CC BY-SA 4.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p14253.jpg,,,27.216981,77.489515,Basudeva of India (PG049642),2025-05-19T03:04:37.596+00:00
,,PG049691,Malaniz,Gagra,"Thokkar, Thakar, Thekur",,,,,,,,an ethnolinguistic community of Togo,"Alaska: Cantwell, Chickaloon, and Copper river above Eyak river mouth, upper Susitna and Nenana drainages, 8 total communities; Washington state",4570000,,12.57,,,,,,,,,,,,,ywn,Yawanawa,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, East-West, Mbembe-Legbo, Mbembe",,,,,,,,,,113532,"Saryara, Hindu",304089,Koch,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Walter Schwertfeger",https://joshuaproject.net/assets/media/profiles/photos/p11405.jpg,,,13.370963,84.6518,Siyalgar of India (PG049691),2025-05-19T03:04:57.433+00:00
,,PG049210,Gagra,Pomla,"Pahira, Pahaidia",,,,,,,,a linguistic subgroup of the Jur Beli (also referred to simply as Beli) people of South Sudan. The Beli are sedentary agriculturalists,California: northeast,6875000,,17.33,,,,,,,,,,,,,nld,Dutch,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Lower Cross, Obolo, Efik",,,,,,,,,,112881,Mawasi,304930,Mahli (tribe),,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Nestlé - Flickr <a href=""https://www.flickr.com/photos/nestle/5785643950"">Nestlé - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p12155.jpg,,,19.615,74.365233,Maila of India (PG049210),2025-05-19T03:02:37.493+00:00
,,PG049072,Pomla,Prabhu Kayastha,"Master, Karigarh, Dholi, Hudke",,,,,,,,an ethnolinguistic community of Sierra Leone,"Texas: Polk County, East Texas, near Livingston",566000,,17.47,,,,,,,,,,,,,tpx,"Me’phaa, Acatepec",,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Lower Cross, Obolo, Ibino",,,,,,,,,,113546,"Sirkiband, Hindu",301583,Capisano,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://www.watchiharvest.com/index.htm"">Watchi Harvest</a>",https://joshuaproject.net/assets/media/profiles/photos/p12081.jpg,,,14.542499,86.601389,Ratal of India (PG049072),2025-05-19T03:02:44.82+00:00
,,PG048955,Prabhu Kayastha,Markande,"Kadma, Ghori",,,,,,,,an ethnolinguistic community of Cameroon,North Dakota: Turtle Mountain Reservation,15300000,,15.5,,,,,,,,,,,,,coc,Cocopa,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, North-South, Koring-Kukele, Kukele",,,,,,,,,,112763,Lingader,300776,Balti (Baltistani Bhotia),,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Steve and Debbi Clouser",https://joshuaproject.net/assets/media/profiles/photos/p13080.jpg,,,25.870556,73.406696,Soria of India (PG048955),2025-05-19T03:02:46.603+00:00
,,PG041560,Markande,Kunchatiga,"Yakthumba, Chang",,,,,,,,an Anglo-Celt ethnolinguistic group indigenous to Scotland,"Washington, Colville Reservation",652000,,1.92,,,,,,,,,,,,,als,"Albanian, Tosk",,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Northern, Mambiloid, Mambila-Konja, Magu-Kamkam-Kila",,,,,,,,,,112373,Kadaiyan,304898,Madari,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Mr.R.Sobah - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:FEMALE_KRAHN_DEVIL_-_panoramio.jpg"">Mr.R.Sobah - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by/3.0/"">CC BY 3.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p20783.jpg,,,17.015239,75.566525,Bhansala of India (PG041560),2025-05-19T03:02:52.893+00:00
,,PG049203,Kunchatiga,Kadar,"Gorang, Gurun",,,,,,,,a diaspora community of Amazigh (Berber) indigenous to Morocco,"Quebec, southeastward from James Bay, inland to the watershed east of Lake Mistissini. Coastal communities of Waskaganish, some in Eastmain. Inland, in Mistissini, Waswanipi, Nemaska, Ouje-Bougoumo",389000,,65.81,,,,,,,,,,,,,deu,"German, Standard",,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, North-South, Ubaghara-Kohumono, Ubaghara",,,,,,,,,,111812,Chanal,305489,Mirasi,,,,,,,,,,,,,,Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Basa,https://joshuaproject.net/assets/media/profiles/photos/p19198.jpg,,,24.690247,77.788306,Gatti of India (PG049203),2025-05-19T03:03:24.886+00:00
,,PG048985,Kadar,Domban,"Basith, Hindu",,,,,,,,a Cushitic ethnic group of southern Ethiopia,"British Columbia province: Beaver community of Prophet River, Fort McLeod, Iskut Tahltan community, Ware",482000,,37.33,,,,,,,,,,,,,arn,Mapudungun,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, North-South, Koring-Kukele, Koring",,,,,,,,,,111496,Banchada,306923,"Rakhine, Arakanese",,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: NTM Senegal",https://joshuaproject.net/assets/media/profiles/photos/p11322.jpg,,,10.139554,74.749592,Singiwala of India (PG048985),2025-05-19T03:04:05.026+00:00
,,PG049045,Domban,Pao,"Cobbier, Thapa",,,,,,,,citizens and permanent residents of Canada who have total or partial Belarusian ancestry,"British Columbia and Alberta provinces: Chateh (Assumption) on Hay river, and Prophet river south of Fort Nelson",17520000,,4.96,,,,,,,,,,,,,kvt,Lahta,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Agoi-Doko-Iyoniyong",,,,,,,,,,112648,Kotal,306579,Parsi / Parsee,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Famille Guiro - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Kru_women_from_the_area_of_Blolequin,_Ivory_Coast.JPG"">Famille Guiro - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/3.0/"">CC BY-SA 3.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p17015.jpg,,,19.095208,74.424716,Bhalla of India (PG049045),2025-05-19T03:04:26.17+00:00
,,PG041827,Pao,Pale,Duley,,,,,,,,citizens and permanent residents of Canada who have total or partial Armenian ancestry,British Columbia province: north Vancouver Island and adjacent mainland,203000,,7.12,,,,,,,,,,,,,crn,"Cora, El Nayar",,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Central Delta, Abua-Odual",,,,,,,,,,105163,Konai,302064,Dhawa,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Humphrey Joseph",https://joshuaproject.net/assets/media/profiles/photos/p15974.jpg,,,34.060852,87.644985,Sankara of India (PG041827),2025-05-19T03:04:51.3+00:00
,,PG049173,Pale,Doai,Magari,,,,,,,,an animistic Scheduled Tribe of Odisha,"British Columbia province: Burke channel head, North Bentinck arm, Bella Coola river mouth",187000,,5.03,,,,,,,,,,,,,kwk,Kwakwala,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Mbe",,,,,,,,,,111770,Chasadhobi,302824,Guddi Eluguvallu,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/woman-africa-ethnicity-village-431691/"">Valeria Rodrigues - Pixabay</a>",https://joshuaproject.net/assets/media/profiles/photos/p11619.jpg,,,25.545445,76.363728,Ghadi of India (PG049173),2025-05-19T03:03:16.486+00:00
,,PG049222,Doai,Nanbai,"Chasati, Haladhar",,,,,,,,"a tribal community of Myanmar, a subgroup of the larger Rawang ethnic group","Alaska: Anvik, Shageluk, Holy Cross, and Grayling. Kuskokwim dialect spoken in Grayling; Yukon dialect spoken only in Shageluk. Some elderly speakers in Anchorage",4970000,,12.32,,,,,,,,,,,,,kek,Q?eqchi?,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, East-West, Loko",,,,,,,,,,113197,Nagar,304282,Kresh,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 <a href=""https://peoplegroups.org/explore/groupdetails.aspx?peid=13713"">International Mission Board-SBC</a> Used with permission",https://joshuaproject.net/assets/media/profiles/photos/p15310.jpg,,,12.187315,78.732632,Semman of India (PG049222),2025-05-19T03:03:57.193+00:00
,,PG048964,Nanbai,Sonr,"Raibhat, Raibhat, Khambu, Jimdar, Rai Sikh",,,,,,,,"an indigenous community of Canada, descendants of the French who settled in the colony of Acadia during the 17th and 18th centuries","California: Little Lake area in south Eureka Valley; Owens Lake, Coso Range, south Owens Valley area; Nevada: Amargosa Desert, Argus range, Beatty area, north and central Death Valley; Funeral Range on California-Nevada border; Grapevine mountains; Inyo ",14310000,,37.6,,,,,,,,,,,,,crk,"Cree, Plains",,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Bendi",,,,,,,,,,111631,Bisati,301593,Caribbean East Indian,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: David Marsh",https://joshuaproject.net/assets/media/profiles/photos/p18425.jpg,,,23.838067,74.820007,Bargi of India (PG048964),2025-05-19T03:03:57.623+00:00
,,PG049178,Sonr,Mundala,"Brahvi, Brahvi Kur Galli, Birahui, Brahudi",,,,,,,,"a linguistic subgroup of the Muna people of Indonesia, indigenous to Indonesia's Sulawesi province",Montana: Fort Belknap and Fort Peck Indian Reservations,63820000,,23.11,,,,,,,,,,,,,quc,K’iche’,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Ekoid",,,,,,,,,,112921,"Chik, Muslim",302219,Dulia,,,,,,,,,,,,,,Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Goji,https://joshuaproject.net/assets/media/profiles/photos/p14494.jpg,,,34.10044,80.946683,Raya Rawat of India (PG049178),2025-05-19T03:04:01.076+00:00
,,PG049220,Mundala,Saryara,Persian,,,,,,,,"nomadic and semi-nomadic Arab tribes living in and around the Kufra Oasis in southeastern Libya, deep within the Sahara Desert","Alaska: Carcross-Tagish inland, Ketchikan south to Yakutat north",991000,,48.77,,,,,,,,,,,,,crg,Michif,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Tivoid",,,,,,,,,,112942,"Dosadh, Muslim",301034,Beja,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Naphtali B Bello Gujela Wuntena Foundation",https://joshuaproject.net/assets/media/profiles/photos/p10295.jpg,,,26.846511,75.74153,Raneyar of India (PG049220),2025-05-19T03:04:01.39+00:00
,,PG041614,Saryara,Mawasi,"Sorani, Kurmanji speakers (many argue they are NOT ethnic Kurds), Kurd, Southern, Kurmanji speakers (NOT ethnic Kurds), Kurmanji",,,,,,,,an Amazigh (Berber) people of Libya,"Far north Manitoba into Saskatchewan, inland southwest from Churchill",65500,,5.28,,,,,,,,,,,,,ghk,"Karen, Geko",,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Akpet",,,,,,,,,,112446,Karenga,306413,Panan / Pangal,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Arvid Cowell",https://joshuaproject.net/assets/media/profiles/photos/p14262.jpg,,,12.4206,73.317551,"Kachchi, Alia of India (PG041614)",2025-05-19T03:04:05.503+00:00
,,PG049032,Mawasi,Sirkiband,Persian Peoples,,,,,,,,large numbers of refugees and expatriates from Afghanistan,Oregon: Salitz Reservation,941000,,34.86,,,,,,,,,,,,,koq,Kota (Gabon),,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Western, Northwestern, Hyamic",,,,,,,,,,112457,Katia,303316,"Jama Mapun, Bajau Kagayan",,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: DFID UK - Flickr <a href=""https://www.flickr.com/photos/dfid/5574131076"">DFID UK - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p15597.jpg,,,26.890436,80.927986,Angarok of India (PG049032),2025-05-19T03:04:20.43+00:00
,,PG041949,Sirkiband,Lingader,"Northern Azerbaijani, Nothern Azerbaijani, Azeri",,,,,,,,"an Indo-Aryan ethnic group native to the Maldives archipelago and the island of Minicoy (Maliku), which is part of India’s Lakshadweep territory",Oregon: Douglas County,16500,,26.68,,,,,,,,,,,,,krp,Durop,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Tarokoid",,,,,,,,,,115672,Thigala,309158,"Amazigh, Shawiya",,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 <a href=""https://peoplegroups.org/explore/groupdetails.aspx?peid=13132"">International Mission Board-SBC</a> Used with permission",https://joshuaproject.net/assets/media/profiles/photos/p13460.jpg,,,33.93741,74.64095,Harkantra of India (PG041949),2025-05-19T03:04:22.8+00:00
,,PG049052,Lingader,Kadaiyan,Azerbaijani Turk,,,,,,,,"an ethnolinguistic subgroup of the Tuareg Amazigh, indigenous to the Tamanrasset province of southeastern Algeria and neighboring areas in Libya and Niger","Virginia: Amherst County, Bear Mountain",945000,,4.89,,,,,,,,,,,,,tzx,Karawari,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Beromic",,,,,,,,,,113469,Rangaswami,305674,Muker / Mukeri / Mochi,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Michael Barton",https://joshuaproject.net/assets/media/profiles/photos/p18888.jpg,,,34.019301,75.315037,Rajdhop of India (PG049052),2025-05-19T03:04:25.64+00:00
,,PG049172,Kadaiyan,Chanal,"Iranian, Irani",,,,,,,,an Austronesian ethnolinguistic group indigenous to the Kampong Cham province in Cambodia and the An Giang province in southern Vietnam. The Laotian Cham are related to Cambodian Cham,Oregon: Coos County,430000,,36.09,,,,,,,,,,,,,jkp,"Karen, Paku",,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Central Delta",,,,,,,,,,113852,Veluthadanayar,300134,Ahmadi,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Daniel S. Toueh",https://joshuaproject.net/assets/media/profiles/photos/p13076.jpg,,,12.715185,75.668449,Velip of India (PG049172),2025-05-19T03:04:42.886+00:00
,,PG048976,Chanal,Banchada,"Ikaw, Khako",,,,,,,,a stateless minority tribe of Uzbek origin and ethnicity. Most Jogies migrated from Bukhara during the Soviet era seeking asylum in northern Afghanistan,"Connecticut: Lantern Hill, North Stonington, Ledyard",622000,,33.24,,,,,,,,,,,,,atk,Ati,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Lower Cross, Obolo, Ebughu",,,,,,,,,,112202,Hanabar,309233,Kutchi (Kachhi),,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Moimpa Lamboni",https://joshuaproject.net/assets/media/profiles/photos/p12237.jpg,,,21.013321,75.563972,Bhanumati of India (PG048976),2025-05-19T03:04:56.19+00:00
,,PG049199,Banchada,Kotal,"Khawas, Gharti, Khanla",,,,,,,,one of the main tribes of Nuristani people in Pakistan,traditionally inhabiting areas around the South Fork of the Eel River in Mendocino County,31630000,,70.43,,,,,,,,,,,,,aab,Arum,,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, East-West, Ikom",,,,,,,,,,113200,Nagartha,300401,"Arab, Gulf",,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://www.ministryofmercy.org"">Stuart Carlson</a>",https://joshuaproject.net/assets/media/profiles/photos/p14881.jpg,,,25.75,71.38,Anuppan of India (PG049199),2025-05-19T03:03:15.263+00:00
,,PG048958,Kotal,Konai,"Bahun, Bajey",,,,,,,,"a Turkic ethnic group native to Central Asia, primarily Kazakhstan","Washington: Auburn, Muckleshoot Reservation",19360000,,29.75,,,,,,,,,,,,,acz,Acheron,,"Torricelli, Marienberg",,,,,,,,,,112198,Halsar,300734,Bajun,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Jeremy Weate - Flickr <a href=""https://flickr.com/photos/73542590@N00/95408172"">Jeremy Weate - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p20050.jpg,,,14.791453,74.62018,Pangul of India (PG048958),2025-05-19T03:03:43.883+00:00
,,PG049200,Konai,Chasadhobi,Nepalese,,,,,,,,an ethnolinguistic community of Sudanic origins that is indigenous to Democratic Republic of the Congo,Washington: Okanagan county,1515000,,31.77,,,,,,,,,,,,,kwb,Kwa,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Admiralty Islands, Eastern, Manus, East",,,,,,,,,,112653,Kotwal,301264,Bisnupriya,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Iva Pekarkova",https://joshuaproject.net/assets/media/profiles/photos/p18495.jpg,,,21.1458,79.088155,Bellara of India (PG049200),2025-05-19T03:04:00.06+00:00
,,PG049216,Chasadhobi,Nagar,"Kassonke, Xasonga, Xaasonga, Kasonke, Kasson, Xaasongaxang, Kasso, Xasonke",,,,,,,,an ethnoreligous community of Moroccan Jews in Canada,"North central Manitoba, scattered west across Saskatchewan and central Alberta to the foot of the Rocky Mountains; isolated enclave in British Columbia",6185000,,33.21,,,,,,,,,,,,,yog,Yogad,,"Sepik, Ndu",,,,,,,,,,113147,Mukri,307851,Tai Lu,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Jacques Taberlet - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Bafoulab%C3%A9.jpg"">Jacques Taberlet - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by/3.0/"">CC BY 3.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p15668.jpg,,,26.6,85.48,Pambada of India (PG049216),2025-05-19T03:04:33.05+00:00
,,PG049067,Nagar,Bisati,"Nishung, Murmi, Lama, Tamanglama",,,,,,,,a community of Oriya-speaking hill cultivators primarily found in Odisha and parts of Andhra Pradesh,"Saskatchewan province: part of Carry-the-Kettle, Mosquito-Grizzly Bear’s Head, and Whitebear",350,,56,,,,,,,,,,,,,dby,Dibiyaso,,"Torricelli, Maimai, Maimai Proper",,,,,,,,,,115551,Patnulkaran,303039,Hindi,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Felicia Abraham Oluwatosin",https://joshuaproject.net/assets/media/profiles/photos/p12112.jpg,,,19.27,76.78,Ganz of India (PG049067),2025-05-19T03:04:12.42+00:00
,,PG049053,Bisati,Chikwa,Lhotshampa,,,,,,,,a scheduled tribe of the southwest Indian state of Kerala,Alaska: Kenai Peninsula,4170000,,35.42,,,,,,,,,,,,,pze,Pesse,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Tomoip",,,,,,,,,,112649,Kotegar,303059,Ho,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Joseph Kauffman",https://joshuaproject.net/assets/media/profiles/photos/p13775.jpg,,,32.2399,77.1883,Sahisia of India (PG049053),2025-05-19T03:04:16.65+00:00
,,PG042050,Chikwa,Dharhi,Chewa,,,,,,,,"an ethnoreligious community of French-speaking Jews in Algeria; most Jews left Algeria upon independence in 1962, but a small community persists",Oklahoma: Pawhuska,1775000,,20.55,,,,,,,,,,,,,kss,"Kisi, Southern",,"Torricelli, Kombio-Arapesh, Kombio",,,,,,,,,,113895,Yerava,305781,Naga,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: The Seed Co.",https://joshuaproject.net/assets/media/profiles/photos/p18604.jpg,,,30.805241,75.83633,Soligaru of India (PG042050),2025-05-19T03:04:22.27+00:00
,,PG041729,Dharhi,Karenga,"Indian foreign workers, Asomiya, Assamiya, Ahomiya, Indian migrant workers, Assamese, Indians",,,,,,,,"a small and lesser-known ethnic group classified under the Lao Theung (or ""Upland Lao"") category","Alaska: Eagle village, along the Yukon river",598000,,30,,,,,,,,,,,,,grj,"Grebo, Southern",,"Skou, Skou-Serra-Lagoon, Nuclear Skou, Eastern Skou",,,,,,,,,,113865,Velakkithalanayan,301167,Bhotia,,,,,,,,,,,,,,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Ommoclark2020 - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:BA_Clark_Ijaw_Chief.jpg"">Ommoclark2020 - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/4.0/"">CC BY-SA 4.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p13437.jpg,,,21.17,72.83,Saur of India (PG041729),2025-05-19T03:04:28.94+00:00
