OBJECTID,ROP2,PeopleCluster,Description,Citation,Source,EditorComments,ROP1,AddDate,EditDate,Status
51,C0270,"Bantu, Nguni","Bantu refers to a large, complex linguistic grouping of peoples in Africa. Nguni refers to a group of Bantu languages spoken in southeastern Africa, primarily in the coastal belt from Zululand to Ciskei in South Africa. The Ngunis migrated south from north of the Limpopo River in the fifteenth century, also with the Sotho peoples. The Ngunis generally stayed east of the Drakensberg mountains, near the coast, while the Sothos remained west of the mountains. Included in the Nguni group are the Zulu, Xhosas, Swazis, and Ndebeles.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). P. 435.",Patrick Johnstone,"Olson does not include Zulu in his description of the Nguni, but since they are the largest component of this cluster I have inserted that into his listing of ""Xhosas, Swazis, and Ndebeles"".",A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
52,C0276,Sidama,"The Sidama people live in southwest Ethiopia, north of Lake Abaya. They are divided into numerous subgroups, typically based on location or religion, and they speak one of several Eastern Cushitic languages. About ten percent of the Sidama follow Islam. A majority maintain loyalty to their indigenous tribal religion or to various Christian sects. In recent years, the Wando Magano movement--a syncretistic fusion of Muslim, Christian, and animistic beliefs--has gained a strong following from among the peoples represented by the Sidama people cluster.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), pp. 502-503.",Jim Courson,Created 4/18/2011. PeopleCluster name changed from ""Cushitic"" to ""Sidama"" on 10/16/2012.,A004,2007-05-21T00:00:00+00:00,2012-10-16T00:00:00+00:00,1
53,C0281,Agau,"The Agau are an ethnic group living in central and northern Ethiopia and Eritrea. They are closely related, culturally and linguistically, with the neighboring Amhara and Tigre peoples, but ethnologists believe the Agau have been living in the region much longer than the Amharas and Tigres.  The Southern Agau and subgroups that maintain distinct identities are included in the Agau people cluster. The Agau are divided religiously between several Christian denominations and the Sunni Muslim faith.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). P. 13.",Jim Courson,New cluster created to accommodate ""Cushitic"" peoples in conjuntion with reactivation of C0005 ""Afar"" and name change for C0276 from ""Cushitic"" to ""Sidama"".,A004,2012-10-02T00:00:00+00:00,2012-10-16T00:00:00+00:00,1
54,C0287,Mala,"The Mala are a Dalit community of India. They are mainly concentrated in Andhra Pradesh and Telangana but are also distributed in Tamil Nadu, Pondicherry, Karnataka and Maharashtra. Dalit is a Sanskrit term meaning ""broken or scattered"" and refers to the lowest caste in India, often characterized as ""untouchable"".","-- K. S. Singh, People of India. Volume V. India's Communities H-M. Delhi: Oxford University Press (1998). Pp. 2122-2129",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Dalit - Mala to Mala (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
55,C0290,Pasi,"The Pasi are a Dalit community of India. They are mainly distributed in Andhra Pradesh, Bihar, Telangana and Uttar Pradesh. They are divided into subgroups including the Gujjar Pasi, Kaith Pasi and Baurasi Pasi. Dalit is a Sanskrit term meaning ""broken or scattered"" and refers to the lowest caste in India, often characterized as ""untouchable"".","-- K. S. Singh, People of India. Volume VI. India's Communities N-Z. Delhi: Oxford University Press (1998). Pp. 2794-2797",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Dalit - Pasi to Pasi (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
56,C0292,Valmiki,"The Valmiki (Balmiki) are a Dalit community of India. The Valmiki include the Bhangi, Mehtar, Lalbegi and a few other communities. They are widely distributed in Uttar Pradesh, Haryana, Punjab, Delhi and Chandigarh. Dalit is a Sanskrit term meaning ""broken or scattered"" and refers to the lowest caste in India, often characterized as ""untouchable"".","-- K. S. Singh, People of India. Volume IV. India's Communities A-G. Delhi: Oxford University Press (1998). Pp. 233-236",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Dalit - Valmiki to Valmiki (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
57,C0293,Bania,Bania is a cluster of related communities distributed widely across northern and western India. A majority of these communities are notified as schedule castes. Bania derives from a Sanskrit word meaning ""trading"" and the various Bania communities are typically involved in trade. Almost all Bania communities are endogamous.," -- K. S. Singh, People of India, Volume IV. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 261-267",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Forward Caste - Bania to Bania (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
58,C0298,Badhai,"An occupational community, the Badhai (Barhai) derive their name from a Sanskrit word meaning cutting and continue to primarily engage in the occupation of carpentry. They are mainly distributed in Madhya Pradesh, Himachal Pradesh, Uttar Pradesh, Bihar and Chandigarh."," -- K. S. Singh, People of India, Volume IV. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 158-161",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Badhai to Badhai (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
59,C0299,Bhoi,"The Bhoi (Bauri, Basuri) are an occupational caste known as those who carry a litter or palanquin. They are distributed in Madhya Pradesh, Odisha, Maharashtra, Rajasthan, Gujarat and Assam. In Odisha they are notified as a scheduled caste, while in Assam they are included among the scheduled tribes."," -- K. S. Singh, People of India, Volume IV. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 444-449",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Bhoi to Bhoi (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
60,C0301,Kahar,"The Kahar are distributed in a number of north Indian states like Bihar, Uttar Pradesh, Delhi, Rajasthan and West Bengal. In Tripura they are a scheduled caste. The Kahar have abandoned their traditional occupation of carrying palanquins and are now mostly employed in small-scale businesses, such as runningrestaurants, cloth, medicine and betel shops, and fruit and egg stalls. Some of them are engaged in salaried jobs both in private and government sectors.","-- K. S. Singh, People of India, Volume V. India's Communities H-M. Delhi: Oxford University Press (1998), pp. 1443-1449",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Kahar to Kahar (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
61,C0302,Kapu,"The Kapu (Reddy) are a large dominant community of Andhra Pradesh, also distributed in Tamil Nadu, Pondicherry, Karnataka, Kerala, Odisha and Maharashtra. Historically, the Kapu belonged to the fourth of the Hindu varnas, Sudra. However, in the present socio-economic system, they occupy a place next only to the Brahman."," -- K. S. Singh, People of India, Volume VI. India's Communities N-Z. Delhi: Oxford University Press (1998), pp. 3006-3047",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Kapu to Kapu (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
62,C0303,Kayastha,"The Kayastha are a well-known and widely-distributed community of Uttar Pradesh, Madhya Pradesh, Himachal Pradesh, Bihar, West Bengal, Tripura, Assam, Delhi and Chandigarh. Traditionally the Kayastha were considered a ""writing caste"", who served the ruling powers as administrators, ministers and record-keepers. There are numerous clans, subcastes, and sects within the Kayastha community.","-- K. S. Singh, People of India, Volume V. India's Communities H-M. Delhi: Oxford University Press (1998), pp. 1625-1643",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Kayastha to Kayastha (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
63,C0304,Kumhar,"The Kumhar are a widely distributed community of northern India. The term 'kumhar' is derived from the Sanskrit word kumbhkara, meaning a maker of pots. They are known by different names in different states, such as Kusuvan in Kerala and Tamil Nadu, Kulal in the coastal districts of Karnataka and Kerala, Kumbar in the entire region of Karnataka, Kummara in Andhra Pradesh and Kumar in Assam.","-- K. S. Singh, People of India, Volume V. India's Communities H-M. Delhi: Oxford University Press (1998), pp. 1880-1893",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Kumhar to Kumhar (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
64,C0305,Kunbi,"The Kunbi are a caste of landholders and farmers in western India. They are distributed in the states of Madhya Pradesh, Maharashtra, Goa, Gujarat and Karnataka. Major subgroups include the Dhonoje, Ghatole, Hindre, Jadav, Jhare, Khaire, Lewa, Lonari and Tirole.","-- K. S. Singh, People of India, Volume V. India's Communities H-M. Delhi: Oxford University Press (1998), pp. 1897-1908",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Kunbi to Kunbi (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
65,C0306,Kurmi,"The Kurmi are a numerically large and widely distributed cultivating caste, having eleven main endogamous divisions including: Baiswar, Bardhiha, Gangapar, Gujarati, Jaiswar, Kanaujiya, Kharebind, Patariha or Patthariha, Rash, Saindiwar or Saithwar and Singraur. They are a landowning and agricultural community also involved in the domestication of cows and buffaloes.","-- K. S. Singh, People of India, Volume V. India's Communities H-M. Delhi: Oxford University Press (1998), pp. 1923-1933",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Kurmi to Kurmi (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
66,C0310,Nai,"The Nai (Napit) are an occupational caste of barbers found throughout India. Hair-cutting, shaving and match-making are the traditional occupations of the Nai. They are distributed in Delhi, Himachal Pradesh, Uttar Pradesh, Chandigarh, Haryana, Punjab, Rajasthan, Madhya Pradesh, West Bengal, Assam and Tripura. In West Bengal, Assam, and Tripura they are called Napit."," -- K. S. Singh, People of India, Volume VI. India's Communities N-Z. Delhi: Oxford University Press (1998), pp. 2546-2554",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Nai to Nai (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
67,C0312,Sonar,"The Sonar are an occupational caste of jewellers spread across much of northern, central and eastern India. The community name is derived from the the Sanskrit word for gold, and reflects their traditional occupation as goldsmiths. The Sonar are predominantly Hindu.","-- K. S. Singh, People of India, Volume VI. India's Communities N-Z. Delhi: Oxford University Press (1998), pp. 3335-3348",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Sonar to Sonar (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
68,C0313,Teli,"The Teli are an occupational caste widely distributed across northern India. The traditional occupation of oil pressing has virtually disappeared and the Teli have taken to trade and agriculture on which they now largely depend. In fact, today land is the main economic resource for the majority of the rural Teli community. Some have taken up animal husbandry as a vocation while others rear sheep and goats.","-- K. S. Singh, People of India, Volume VI. India's Communities N-Z. Delhi: Oxford University Press (1998), pp. 3462-3476",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Teli to Teli (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
69,C0314,Vokkaliga,The Vokkaliga are a major Hindu land owning commumunity in the Karnataka state of India. Some of their subgroups are also distributed in the adjoining areas of Tamil Nadu and Andhra Pradesh. The Vokkaliga are non-vegetarian. Their clans are typically exogamous. Kannada is their mother tongue but they also speak Malayalam.,"-- K. S. Singh, People of India, Volume VI. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 3666-3680",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Vokkaliga to Vokkaliga (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
70,C0315,Vanniyan,"The Vanniyan claim to be descendants of the fire races (agnikula) and the name derives from the Sanskrit word meaning fire. Vanniyan communities are distributed in the states of Tamil Nadu, Andhra Pradesh, Karnataka, Kerala and the union territory of Pondicherry. Agriculture is their traditional occupation.","-- K. S. Singh, People of India, Volume VI. India's Communities N-Z. Delhi: Oxford University Press (1998), pp. 3599-3603",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Vanniyan to Vanniyan (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
71,C0316,Viswakarma,"The Viswakarma are a major Hindu land owning commumunity in the Tamil Nadu state of India. Some of their subgroups are also distributed in the adjoining areas of Pondicherry, Kerala and Karnataka. The Viswakarma are vegetarian. They practice endogamy at the community level and exogamy at the gotra level. Tamil is their mother tongue but they also speak Telugu and Malayalam.","-- K. S. Singh, People of India, Volume VI. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 3662-3665",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Viswakarma to Viswakarma (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
72,C0317,Yadav,"Yadav refers to a collection of peasant-pastoral communities in India that claim descent from the mythological Hindu King Yadu. Traditionally, Yadav groups were linked to cattle raising and were outside the formal caste system. Yadavs are concentrated in Northern India, particularly in Haryana, Uttar Pradesh and Bihar.",Wikipedia,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Hindu - Yadav to Yadav (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
73,C0319,Arain,"The Arain are described as a gardening and cultivating caste, largely settled in Delhi, Punjab, Himachal Pradesh and Bihar. They follow the Sunni sect of Islam. While the majority are landholders, engaged in traditional cultivation and animal husbandry, some are employed in government or private jobs.","-- K. S. Singh, People of India, Volume IV. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 112-115",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Muslim - Arain to Arain (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
74,C0324,Sayyid,"The Sayyid (Syed, Saiyad, Sayyad) hold the foremost position among the four classes of Muslims in general: Sayyid, Sheikh, Mughal and Pathan. The Sayyid are widely distributed across northern India, with concentrations in Jammu and Kashmir, Uttar Pradesh, Himachal Pradesh and Gujarat.","-- K. S. Singh, People of India, Volume VI, India's Communities N-Z. Delhi: Oxford University Press (1998), pp. 3402-3411",Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Muslim - Sayyid to Sayyid (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
75,C0329,Banjara,"Banjara refers to a cluster of related peoples distributed across western and southern India. Traditionally a nomadic tribe, today they are a more settled, trading community. The Banjara mainly speak Lambadi, part of the Rajasthani language family, but often also speak a major regional language.","-- K. S. Singh, People of India, Volume IV. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 268-281",OMID,duplicates C0277 Banjara,A012,2020-02-06T00:00:00+00:00,2021-06-17T00:00:00+00:00,1
76,C0332,Kuki Chin,"Kuki Chin is a geographic cluster of Tibeto-Burman languages and ethnically related peoples. The Kuki people are an ethnic group spread throughout northeastern India, northwest Myanmar, and the Chittagong Hill Tracts in Bangladesh.  The Chin people are one of the large ethnic minorities in the Chin State of western Myanmar, also found in northeastern India.",Wikipedia (Kuki-Chin languages),OMID,Community based cluster to replace ethno-linguistic cluster,A014,2020-02-06T00:00:00+00:00,2020-10-23T00:00:00+00:00,1
77,C0334,Tangsa Naga,Tangsa Naga is a cluster of Naga tribes in north-eastern India and Northern Myanmar. The Tangsa are a scheduled tribe under the Indian Constitution. Tangsa traditions suggest they migrated from what is now Mongolia to their current locations in India and Myanmar at the beginning of the 13th century. There are many Tangsa subtribes speaking a variety of related languages.,Wikipedia (Tangsa Naga),OMID,Community based cluster to replace ethno-linguistic cluster.,A012,2020-02-06T00:00:00+00:00,2022-05-05T00:00:00+00:00,1
78,C0345,Rift,The Rift are a group of South Cushitic-speaking peoples who originated in the Ethiopian highlands and migrated into the Rift Valley of present-day Kenya and Tanzania in the third millennium BC. They are cereal agricultural communities typically governed by councils of elders with a presiding head. Most Rift communities adhere to traditional African religious practices.,Wikipedia,Jim Courson,Created to accommodate outliers from several other Clusters.,A004,2024-10-11T00:00:00+00:00,2024-10-11T00:00:00+00:00,1
79,C0346,Kshatriya,"The Kshatriya are one of the four primary social classes, or varnas, in India. The concept of Kshatriya originates from the Hindu social order, where they are traditionallly recognized as the warrior and ruling class, but over time the term has also been adopted by other religious communities in India, including Sikhs, Buddhists, and Jains.",-,Jim Courson,-,A012,2025-01-10T00:00:00+00:00,2025-01-10T00:00:00+00:00,1
80,C0001,Aboriginal Australians,"Aboriginal Australians are the indigenous peoples of Australia who have inhabited the continent for thousands of years. They have a rich and diverse culture, consisting of hundreds of distinct language groups that maintain strong cultural and religious traditions.",None,Patrick Johnstone,People Cluster name changed from ""Australian Aborigine"" to ""Aboriginal Australians"",A010,2003-10-30T00:00:00+00:00,2023-06-01T00:00:00+00:00,1
81,C0005,Afar-Saho,"The Afar and the Saho are two closely related ethnic groups living in Ethiopia and Eritrea. Their languages are classified as Eastern Cushitic.  Along the coast some make their living as fishermen, but a majority are pastoral nomads who work herds of sheep, cattle, goats, and camels in the lowland deserts. Both groups follow the Sunni branch of Islam.",None,Patrick Johnstone,Retired and merged into C0276 ""Cushitic"" on 5/18/2011. Reactivated as cluster on 10/16/2012. PeopleCluster name changed from ""Afar"" to ""Afar-Saho"" on 10/16/2012.,A004,2003-10-30T00:00:00+00:00,2012-10-16T00:00:00+00:00,1
82,C0022,Assamese,"The Assamese are a cultural community with a shared identity shaped by historic roots in the northeast Indian state of Assam. Formed after centuries of assimilation of Austroasiatic, Tibeto-Burman, Indo-Aryan and Tai populations, this cluster of peoples is ethnically, linguistically and religiously diverse.",None,Patrick Johnstone,Reactivated with an updated description (1/21/2022).,A012,2003-10-30T00:00:00+00:00,2022-01-21T00:00:00+00:00,1
83,C0043,Bengali,"Bengalis are an Indo-Aryan ethnocultural community that originated in the Bengal region of South Asia. Bengali is the predominant language, but Bengali people speak a variety of local languages in the diaspora. Bengalis are a religiously diverse group; though Muslim in majority, there are significant Hindu, Buddhist, and Christian Bengali people groups.",None,Patrick Johnstone,Ethnolinguistic cluster redefined ethnoculturally for reactivation alongside updated community based clusters (1/25/2022).,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
84,C0085,Guinean,"The Gulf of Guinea is the northeasternmost part of the tropical Atlantic Ocean between Cape Lopez in Gabon, north and west to Cape Palmas in Liberia. The coastline on the gulf includes the Bight of Benin and the Bight of Bonny, bight referring to the recessed curvature of the coastline. More than one hundred people groups scattered along the along the Bight of Benin, from Nigeria through Benin and Ghana to Ivory Coast are assigned to the Guinean people cluster.",None,Patrick Johnstone,"""Guinean"" is a confusing name for this cluster. Consider ""Coastal"", ""Atlantic-Coastal"" or other possibilities.",A013,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
85,C0089,Hani-Akha,"The Hani-Akha people cluster encompasses the Hani of China and the Akha of Myanmar along with a number of related groups or sub-groups of these two groups that share an ethnic and linguistic affinity. There has been some response among both the Hani of China and the Akha of Myanmar, but most of these peoples remain unevangelized and continue to practice animistic folk religion.",None,Patrick Johnstone,Cluster name changed from Hani to Hani-Akha,A014,2003-10-30T00:00:00+00:00,2025-11-12T00:00:00+00:00,1
86,C0104,Kanarese,"The Kanarese people cluster encompasses a number of related ethnic communities originating from the Karnataka region of southern India. These communities primarily speak Kannada, a language with a long literary tradition dating back to the 9th century. Kanarese people groups are predominantly Hindu, but there are also significant Muslim, Christian, Jain, and Lingayat communities.",None,Patrick Johnstone,Cluster name changed from Kannada to Kanarese,A012,2003-10-30T00:00:00+00:00,2025-04-09T00:00:00+00:00,1
87,C0144,Mixtec,"The Mixtec ('Mixteco' in Spanish) are a family of indigenous Mesoamerican peoples inhabiting the Mexican states of Oaxaca, Guerrero and Puebla in a region known as La Mixteca. The Mixtecan languages form an important branch of the Otomanguean language family. Mixtec religion is largely a blend of Roman Catholicism with traditional religious practices.",None,Patrick Johnstone,"PeopleCluster name changed from ""Mixteco"" to ""Mixtec"", regularizing to English form.",A007,2003-10-30T00:00:00+00:00,2012-10-22T00:00:00+00:00,1
88,C0145,Mizo,"The Mizo people cluster encompasses several related Tibeto-Burman peoples of northeastern India, western Myanmar, and eastern Bangladesh. The Mizo are an ethnic group native to the Indian state of Mizoram (literally ""Mizoland""). This area was called the Lushai Hills and was a district of Assam before being carved out as a distinct political territory for the Mizo people. Mizo encompasses various tribes and sub-tribes, including the Lushai, Hmar, Paite, Lai, Mara, and others.",None,Patrick Johnstone,"PeopleCluster name changed from ""Mizo-Lushai"" to ""Mizo"". Mizo is a broader term that encompasses various tribes including the Lushai, Hmar, Paite, Lai, and Mara.",A014,2003-10-30T00:00:00+00:00,2025-02-13T00:00:00+00:00,1
89,C0163,Odia,"Odia is a major Indo-Aryan language of India, spoken in the states of Odisha, West Bengal, Jharkhand, Chhattisgarh and Andhra Pradesh. It is the state language of Odisha and the second official language of Jharkhand, with around 50 million speakers worldwide. The Odia people cluster encompasses numerous occupational castes that share the Odia language and the Hindu religion.",None,Patrick Johnstone,"The name of the state was changed from Orissa to Odisha, and the name of its language from Oriya to Odia, in 2011.",A012,2003-10-30T00:00:00+00:00,2025-04-09T00:00:00+00:00,1
90,C0172,Other South Asian,"The South Asia - other people cluster encompasses South Asian peoples who are not classified within the Assamese, Banjara, Bengali, Bhil, Bhojpur-Maithili, Bihari, Brahui, Gond, Gujarati, Hindi, Jat, Kannada, Kashmiri, Malayali, Maldivian, Marathi-Konkani, Munda-Santal, Nepali, Pahari, Oraon, Oriya, Punjabi, Rajasthan, Sindhi, Sinhala, Tamil, Telugu, or Urdu Muslim people clusters that account for most South Asian peoples.",None,Patrick Johnstone,Replaced by C0326 South Asia - Other,A012,2003-10-30T00:00:00+00:00,2021-06-25T00:00:00+00:00,1
91,C0186,Rajasthani,"The Rajasthani are an Indo-Aryan ethnic group indigenous to the state of Rajasthan in northern India. Rajasthani people groups speak a variety of related languages including Marwari, Mewari, and Shekhawati. One or more Rajasthani languages are spoken by more than 20 million people in Rajasthan and neighboring states of India and Pakistan. The Rajasthani people cluster encompasses  numerous castes and tribes, mos of who practice Hinduism.",None,Patrick Johnstone,Cluster name changed from Rajasthan to Rajasthani,A012,2003-10-30T00:00:00+00:00,2025-04-09T00:00:00+00:00,1
92,C0188,South Himalayan,"The Himalayan mountain system is the world's highest range and provides a formidable land barrier between China and South Asia. The South Himalaya people cluster encompasses a variety of Tibeto-Burmese people groups that are diverse in ethnicity, language and religion. The unifying characteristic shared by these peoples is their physical location on the southern slopes of the Himalayas in Nepal, Bhutan, and India.",None,Patrick Johnstone,PeopleCluster name changed from ""South Himalaya"" to ""South Himalayan"",A014,2003-10-30T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
93,C0221,Turkic,"Turkic peoples are a collection of diverse ethnic groups mainly inhabiting West, Central, East, and North Asia and speaking one or more of the Turkic languages, a family of more than 35 documented languages spoken in Europe and Asia. A majority of the Turkic peoples are Sunni Muslims.",None,Patrick Johnstone,PeopleCluster name changed from ""Turkish"" to ""Turkic"" reflectiing ethnicity rather than just language.,A015,2003-10-30T00:00:00+00:00,2024-04-29T00:00:00+00:00,1
94,C0223,Ural-Siberian,"The Ural-Siberian people cluster might just as easily be designated 'Other Turkic' given the scope of ethnic and linguistic diversity. From the Urals, ethnic Russians who live along the lower Amu Darya and lower Syr Darya rivers, to the various indigenous peoples of Siberia, this people cluster encompasses Turkic peoples of North Asia not classified within the Altaic, Azerbaijani, Kazakh, Kyrgyz, Turkish, Turkmen, Uyghur, and Uzbek clusters that account for most Turkic peoples.",None,Patrick Johnstone,""Other Turkic"" might be a better name.,A015,2003-10-30T00:00:00+00:00,2012-09-17T00:00:00+00:00,1
95,C0229,Other Tibeto-Burmese,"The Other Tibeto-Burmese people cluster encompasses Tibetan / Himalayan Peoples who are not classified within the Adi, Bhutanese, Burmese, Garo-Tripuri, Hani, Karen, Kuki-Chin-Naga, Lisu, Miri-Kachin, Mizo-Lushai, Nosu, South Himalaya, or Tibetan people clusters that account for most Tibetan / Himalayan Peoples.",None,Patrick Johnstone,PeopleCluster name changed from ""West China / Lolo"" to ""Other Tibeto-Burmese"" following MSY50z People (or sub-family) designation within WCE Ethnocultural Database on 9/12/2012.,A014,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
96,C0234,Zapotec,"The Zapotec ('Zapoteco' in Spanish) are an indigenous people of Mexico and are believed to be the original inhabitants of the Valley of Oaxaca. In pre-Columbian times the Zapotec civilization was one of the highly developed cultures of Mesoamerica. The present-day population hovers around one million, many of whom are monolingual in one of the native Zapotec languages and dialects.",None,Patrick Johnstone,"PeopleCluster name changed from ""Zapoteco"" to ""Zapotec"", regularizing to English form.",A007,2003-10-30T00:00:00+00:00,2012-10-22T00:00:00+00:00,1
97,C0253,"Afro-American, Hispanic","The Hispanic Afro-American people cluster includes Latin American peoples with at least partial Black African ancestry. Also known as Afro-Latin Americans, this cluster includes a number of groups with an Afro- prefix followed by the relevant nationality. Pure Spanish is the majority  language though this is some mixture of Spanish-based Pidgin-Creoles.",None,Patrick Johnstone,Afro-Latin American might be a better name for this cluster,A007,2006-06-09T00:00:00+00:00,2012-04-23T00:00:00+00:00,1
98,C0254,"Afro-American, Anglophone",The Anglophone  Afro-American people cluster encompasses those people groups whose ethnic heritage is mostly pure African Negro or full-blooded Negro. African-Americans are the major people group but there are a number of other groups with an Afro- prefix followed by the relevant nationality. A majority are English speakers though there is some mixture of English-based Pidgin-Creoles.,None,Patrick Johnstone,"Name changed from Afro-American, Northern to Afro-American, Anglophone for standardization",A009,2006-06-09T00:00:00+00:00,2021-05-04T00:00:00+00:00,1
99,C0252,Deaf,"The Deaf Peoples affinity bloc encompasses those peoples typically classified as culturally Deaf -- those who are deaf from birth or became so early in life.
Estimates of the number of culturally Deaf people in the world range from 18 to 36 million. While they are ethnically diverse, they share a common linguistic bond. Sign language is at the core of their lives. Apart from sign language, they remain isolated from others among whom they live. Much of the cultural identity shared by the Deaf arises from their shared experience of discrimination. Regardless of ethnic background, cultural and linguistic factors serve to unite the global Deaf as a unique people cluster.",None,Jim Courson,Reassigned from A016 ""Unclassified"" to A017 ""Deaf"" on 12/1/2011,A017,2006-06-09T00:00:00+00:00,2011-12-01T00:00:00+00:00,1
100,C0278,Domari,"The Domari people cluster refers to an ethnic group found across the Middle East, though mainly in Iran and Egypt. This group sometimes identifies as 'Dom'. While their origins trace to the Indian Subcontinent, the Domari have lived in the Middle East long enough to develop a distinct identity from other ""gypsy"" groups like the Romani and Banjara. The Domari and Romani are likely descendants of two different waves of migration out of India hundreds of years ago.",None,Jim Courson,Created 5/4/2011 - revised 3/28/2023,A005,2011-05-04T00:00:00+00:00,2023-03-28T00:00:00+00:00,1
101,C0279,Romani,"The Romani people cluster refers to an ethnic group found throughout Europe, widely referred to in English as 'gypsies'. While their origins trace to the Indian Subcontinent, the Romani have been in Europe long enough to develop a distinct identity from other ""gypsy"" groups like the Banjara and Domari.",None,Jim Courson,Created 5/4/2011 - revised 3/28/2023,A003,2011-05-04T00:00:00+00:00,2023-03-28T00:00:00+00:00,1
102,C0282,South Asian Buddhist,"The South Asia Buddhist cluster encompasses people groups with identity rooted in their Buddhist faith. Only Bhutan and Sri Lanka are majority Buddhist nations in South Asia, but Buddhists are also an important minority religion in Nepal, India and Bangladesh.",None,OMID,Community based cluster to replace ethno-linguistic cluster,A012,2020-02-06T00:00:00+00:00,2020-07-23T00:00:00+00:00,1
